105 25 25 
1 1 4 
1 2 -1 
1 6 -1 
2 1 -1 
2 2 5 
2 3 -1 
2 7 -1 
3 2 -1 
3 3 6 
3 4 -1 
3 8 -1 
4 3 -1 
4 4 7 
4 5 -1 
4 9 -1 
5 4 -1 
5 5 8 
5 10 -1 
6 1 -1 
6 6 4 
6 7 -1 
6 11 -1 
7 2 -1 
7 6 -1 
7 7 5 
7 8 -1 
7 12 -1 
8 3 -1 
8 7 -1 
8 8 6 
8 9 -1 
8 13 -1 
9 4 -1 
9 8 -1 
9 9 7 
9 10 -1 
9 14 -1 
10 5 -1 
10 9 -1 
10 10 8 
10 15 -1 
11 6 -1 
11 11 4 
11 12 -1 
11 16 -1 
12 7 -1 
12 11 -1 
12 12 5 
12 13 -1 
12 17 -1 
13 8 -1 
13 12 -1 
13 13 6 
13 14 -1 
13 18 -1 
14 9 -1 
14 13 -1 
14 14 7 
14 15 -1 
14 19 -1 
15 10 -1 
15 14 -1 
15 15 8 
15 20 -1 
16 11 -1 
16 16 4 
16 17 -1 
16 21 -1 
17 12 -1 
17 16 -1 
17 17 5 
17 18 -1 
17 22 -1 
18 13 -1 
18 17 -1 
18 18 6 
18 19 -1 
18 23 -1 
19 14 -1 
19 18 -1 
19 19 7 
19 20 -1 
19 24 -1 
20 15 -1 
20 19 -1 
20 20 8 
20 25 -1 
21 16 -1 
21 21 4 
21 22 -1 
22 17 -1 
22 21 -1 
22 22 5 
22 23 -1 
23 18 -1 
23 22 -1 
23 23 6 
23 24 -1 
24 19 -1 
24 23 -1 
24 24 7 
24 25 -1 
25 20 -1 
25 24 -1 
25 25 8 
